#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B2879B
#Date Time: 2025-05-14 11:59:12.943
#Start: 4000 Hz
#Stop: 7000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 60.7007 V
#Offset: 0.00242264 V
#Relative: no
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB)
4000,-42.13498108447092
4014.95095964705,-41.9699282221615
4029.957802092693,-41.92825427793157
4045.020736212294,-41.83986777722295
4060.139971661942,-41.63741301811456
4075.315718881365,-41.61834838566903
4090.548189096862,-41.39106282099962
4105.837594324236,-41.34139603566781
4121.184147371758,-41.17379376758677
4136.588061843113,-41.07705962386898
4152.049552140384,-41.0064944652411
4167.568833467035,-40.83562133114036
4183.146121830902,-40.68739375050168
4198.781634047205,-40.581685707288
4214.475587741559,-40.45195225504065
4230.228201353009,-40.36224340731192
4246.03969413707,-40.21704682998941
4261.910286168774,-40.09127077826464
4277.840198345739,-39.92239750323797
4293.829652391238,-39.74856710688817
4309.87887085729,-39.63961095447112
4325.988077127756,-39.49796272209337
4342.157495421446,-39.41331331914703
4358.387350795241,-39.20260563745488
4374.67786914723,-39.04029249237108
4391.029277219845,-38.91500828074279
4407.441802603028,-38.77686168067341
4423.915673737389,-38.64033533198959
4440.451119917389,-38.42829337761172
4457.048371294535,-38.29033998505978
4473.707658880578,-38.1395428604941
4490.429214550735,-38.02038375218989
4507.213271046906,-37.84018007534925
4524.060061980924,-37.61398914876165
4540.969821837801,-37.54609212232719
4557.942785978994,-37.35360560880262
4574.979190645678,-37.14323605971426
4592.079272962037,-36.97877811683416
4609.243270938566,-36.77433325501361
4626.471423475375,-36.61374996718567
4643.763970365528,-36.43170314422208
4661.121152298368,-36.20534042691738
4678.543210862875,-36.025965729738
4696.030388551022,-35.86015855247018
4713.58292876116,-35.68072713751745
4731.201075801394,-35.45665840932363
4748.88507489299,-35.26364837016651
4766.635172173791,-35.03995004508609
4784.451614701637,-34.81812382163832
4802.334650457804,-34.6520268508901
4820.28452835046,-34.45633268002042
4838.301498218128,-34.23786349997439
4856.385810833158,-33.99708683623
4874.537717905226,-33.72315643843226
4892.757472084832,-33.50980493355815
4911.045326966819,-33.20668185034394
4929.401537093898,-32.98259155772354
4947.826357960198,-32.71380756134151
4966.320046014816,-32.44841940945057
4984.882858665393,-32.15930361192833
5003.515054281687,-31.86864905247013
5022.216892199182,-31.58723603259436
5040.988632722681,-31.28772670744108
5059.83053712995,-30.99080670860013
5078.742867675337,-30.63171362129309
5097.725887593426,-30.30885956078466
5116.779861102709,-29.96390292237858
5135.905053409256,-29.56706972794061
5155.101730710407,-29.13790112922739
5174.370160198479,-28.76859428864704
5193.710610064487,-28.36485970429739
5213.12334950187,-27.90113255485501
5232.608648710244,-27.39158668363498
5252.166778899163,-26.94151656438491
5271.798012291888,-26.4738441794211
5291.502622129182,-25.88942815648143
5311.280882673111,-25.23902930704217
5331.133069210859,-24.65809683549359
5351.059458058566,-24.02271646416349
5371.060326565165,-23.26667076830374
5391.135953116252,-22.40097950289584
5411.286617137954,-21.55349770105563
5431.512599100816,-20.56231255208331
5451.814180523717,-19.255814421102
5472.191643977774,-17.81864812136011
5492.645273090283,-15.9406267479431
5513.175352548667,-12.94224607869108
5533.782168104434,-10.00005438976708
5554.466006577158,-9.070101668998126
5575.227155858471,-9.67006472362565
5596.065904916064,-10.52323832537543
5616.982543797722,-11.49719850807456
5637.977363635349,-12.55384723376983
5659.050656649024,-13.65807805900501
5680.202716151067,-14.80579937648218
5701.433836550126,-15.93654629164951
5722.744313355273,-16.98554910597181
5744.134443180114,-17.92197156166696
5765.604523746918,-18.78448108125906
5787.154853890765,-19.68084331089829
5808.785733563705,-20.52267999188321
5830.497463838923,-21.29464448645812
5852.290346914944,-21.94431564564368
5874.16468611983,-22.57579368513383
5896.120785915406,-23.25167129819642
5918.158951901496,-23.88352669346787
5940.279490820173,-24.3918924722348
5962.482710560036,-24.86595630571735
5984.768920160491,-25.3885578241964
6007.13842981605,-25.90418382611752
6029.591550880657,-26.31752784325784
6052.12859587201,-26.7162257577148
6074.74987847592,-27.12839548799784
6097.455713550675,-27.5737266139779
6120.246417131418,-27.93283114819946
6143.122306434552,-28.21824003433164
6166.083699862152,-28.5810713915039
6189.130917006395,-28.93004361002392
6212.264278654014,-29.26347615611145
6235.484106790755,-29.50084253674241
6258.790724605868,-29.82735746736082
6282.184456496597,-30.13210004424766
6305.665628072699,-30.36442194878762
6329.234566160976,-30.59986904877103
6352.891598809823,-30.86881634433406
6376.637055293796,-31.14857042810009
6400.471266118191,-31.34865142343457
6424.39456302365,-31.55879200424395
6448.407278990775,-31.7987773353507
6472.509748244759,-32.07291185086699
6496.702306260046,-32.23047010978244
6520.985289764994,-32.43456618077718
6545.359036746565,-32.66982354431092
6569.823886455029,-32.82095712021308
6594.380179408683,-33.01621862046748
6619.028257398595,-33.18939173065836
6643.768463493358,-33.39635231986171
6668.601142043866,-33.57498178374392
6693.526638688109,-33.73584838291913
6718.545300355981,-33.88680546963694
6743.657475274105,-34.07735988694624
6768.863512970693,-34.23087205849492
6794.163764280398,-34.37916533003077
6819.5585813492,-34.53385384221195
6845.048317639311,-34.64915128094167
6870.633327934095,-34.82417456120948
6896.313968343001,-34.92995924408275
6922.090596306522,-35.08008279541756
6947.963570601173,-35.23387682440566
6973.933251344482,-35.32669447797365
7000,-35.452633385414
